NUTS0_code,process,month,daytype,hour,load
IE,iron_and_steel,7,0,1,111.9102373
IE,iron_and_steel,7,0,2,111.9102373
IE,iron_and_steel,7,0,3,111.9102373
IE,iron_and_steel,7,0,4,111.9102373
IE,iron_and_steel,7,0,5,111.9102373
IE,iron_and_steel,7,0,6,111.9102373
IE,iron_and_steel,7,0,7,114.1770786
IE,iron_and_steel,7,0,8,114.2983321
IE,iron_and_steel,7,0,9,114.4600034
IE,iron_and_steel,7,0,10,114.4600034
IE,iron_and_steel,7,0,11,114.4600034
IE,iron_and_steel,7,0,12,114.4600034
IE,iron_and_steel,7,0,13,114.4600034
IE,iron_and_steel,7,0,14,114.4600034
IE,iron_and_steel,7,0,15,114.2983321
IE,iron_and_steel,7,0,16,114.1770786
IE,iron_and_steel,7,0,17,114.0558251
IE,iron_and_steel,7,0,18,114.0558251
IE,iron_and_steel,7,0,19,114.0558251
IE,iron_and_steel,7,0,20,114.0558251
IE,iron_and_steel,7,0,21,114.0558251
IE,iron_and_steel,7,0,22,114.0558251
IE,iron_and_steel,7,0,23,111.9102373
IE,iron_and_steel,7,0,24,111.9102373
IE,iron_and_steel,7,1,1,111.9102378
IE,iron_and_steel,7,1,2,111.9102378
IE,iron_and_steel,7,1,3,111.9102378
IE,iron_and_steel,7,1,4,111.9102378
IE,iron_and_steel,7,1,5,111.9102378
IE,iron_and_steel,7,1,6,111.9102378
IE,iron_and_steel,7,1,7,114.1770791
IE,iron_and_steel,7,1,8,114.2983326
IE,iron_and_steel,7,1,9,114.4600039
IE,iron_and_steel,7,1,10,114.4600039
IE,iron_and_steel,7,1,11,114.4600039
IE,iron_and_steel,7,1,12,114.4600039
IE,iron_and_steel,7,1,13,114.4600039
IE,iron_and_steel,7,1,14,114.4600039
IE,iron_and_steel,7,1,15,114.2983326
IE,iron_and_steel,7,1,16,114.1770791
IE,iron_and_steel,7,1,17,114.0558256
IE,iron_and_steel,7,1,18,114.0558256
IE,iron_and_steel,7,1,19,114.0558256
IE,iron_and_steel,7,1,20,114.0558256
IE,iron_and_steel,7,1,21,114.0558256
IE,iron_and_steel,7,1,22,114.0558256
IE,iron_and_steel,7,1,23,111.9102378
IE,iron_and_steel,7,1,24,111.9102378
IE,iron_and_steel,7,2,1,111.0442156
IE,iron_and_steel,7,2,2,111.0442156
IE,iron_and_steel,7,2,3,111.0442156
IE,iron_and_steel,7,2,4,111.0442156
IE,iron_and_steel,7,2,5,111.0442156
IE,iron_and_steel,7,2,6,111.0442156
IE,iron_and_steel,7,2,7,113.2935148
IE,iron_and_steel,7,2,8,113.41383
IE,iron_and_steel,7,2,9,113.5742503
IE,iron_and_steel,7,2,10,113.5742503
IE,iron_and_steel,7,2,11,113.5742503
IE,iron_and_steel,7,2,12,113.5742503
IE,iron_and_steel,7,2,13,113.5742503
IE,iron_and_steel,7,2,14,113.5742503
IE,iron_and_steel,7,2,15,113.41383
IE,iron_and_steel,7,2,16,113.2935148
IE,iron_and_steel,7,2,17,113.1731997
IE,iron_and_steel,7,2,18,113.1731997
IE,iron_and_steel,7,2,19,113.1731997
IE,iron_and_steel,7,2,20,113.1731997
IE,iron_and_steel,7,2,21,113.1731997
IE,iron_and_steel,7,2,22,113.1731997
IE,iron_and_steel,7,2,23,111.0442156
IE,iron_and_steel,7,2,24,111.0442156
IE,iron_and_steel,8,0,1,113.9153287
IE,iron_and_steel,8,0,2,113.9153287
IE,iron_and_steel,8,0,3,113.9153287
IE,iron_and_steel,8,0,4,113.9153287
IE,iron_and_steel,8,0,5,113.9153287
IE,iron_and_steel,8,0,6,113.9153287
IE,iron_and_steel,8,0,7,116.2227849
IE,iron_and_steel,8,0,8,116.3462109
IE,iron_and_steel,8,0,9,116.5107789
IE,iron_and_steel,8,0,10,116.5107789
IE,iron_and_steel,8,0,11,116.5107789
IE,iron_and_steel,8,0,12,116.5107789
IE,iron_and_steel,8,0,13,116.5107789
IE,iron_and_steel,8,0,14,116.5107789
IE,iron_and_steel,8,0,15,116.3462109
IE,iron_and_steel,8,0,16,116.2227849
IE,iron_and_steel,8,0,17,116.0993589
IE,iron_and_steel,8,0,18,116.0993589
IE,iron_and_steel,8,0,19,116.0993589
IE,iron_and_steel,8,0,20,116.0993589
IE,iron_and_steel,8,0,21,116.0993589
IE,iron_and_steel,8,0,22,116.0993589
IE,iron_and_steel,8,0,23,113.9153287
IE,iron_and_steel,8,0,24,113.9153287
IE,iron_and_steel,8,1,1,113.9153292
IE,iron_and_steel,8,1,2,113.9153292
IE,iron_and_steel,8,1,3,113.9153292
IE,iron_and_steel,8,1,4,113.9153292
IE,iron_and_steel,8,1,5,113.9153292
IE,iron_and_steel,8,1,6,113.9153292
IE,iron_and_steel,8,1,7,116.2227854
IE,iron_and_steel,8,1,8,116.3462114
IE,iron_and_steel,8,1,9,116.5107794
IE,iron_and_steel,8,1,10,116.5107794
IE,iron_and_steel,8,1,11,116.5107794
IE,iron_and_steel,8,1,12,116.5107794
IE,iron_and_steel,8,1,13,116.5107794
IE,iron_and_steel,8,1,14,116.5107794
IE,iron_and_steel,8,1,15,116.3462114
IE,iron_and_steel,8,1,16,116.2227854
IE,iron_and_steel,8,1,17,116.0993594
IE,iron_and_steel,8,1,18,116.0993594
IE,iron_and_steel,8,1,19,116.0993594
IE,iron_and_steel,8,1,20,116.0993594
